Date,Fixed_Rate,Floating_Rate,Central_Bank_Rate,GDP_Growth,Inflation,Swap_Rate,Stock_Index,VIX_Index,USD_EUR,Gold_Price
2022-01-01,3.5488135039273248,2.68020270731629,0.4693202274205236,0.03827755537513057,0.026636155573588824,1.895637158006621,4192,11,0.973008405307929,1929
2022-01-02,3.7151893663724196,2.8890231445324828,0.26249398982859456,0.016177734642025782,0.015844844264991907,2.7213481786251235,3918,13,0.8694089739129757,1776
2022-01-03,3.602763376071644,2.5376001815648124,0.47771287325597267,0.04488436809011559,0.036442637190569685,2.3535308822985774,3062,10,0.9312887218219528,1759
2022-01-04,3.5448831829968968,2.511787739180724,0.38908979587213366,0.04802645850322933,0.026180803763554653,2.1891715783709507,3351,17,0.9419073505092396,1779
2022-01-05,3.423654799338905,3.4962678716348443,0.4673279808954388,0.02725908942685445,0.07294638361047434,1.6960593624371376,4634,22,1.0585672220893505,1951
2022-01-06,3.6458941130666562,2.988196658055437,0.4293070154706262,0.001847007559113538,0.02207071559347015,1.9773398340829635,4660,14,1.1662668990332639,1962
2022-01-07,3.4375872112626924,2.87202476397192,0.3587586807430796,0.020297863962347482,0.051024244281754075,2.0207096967266596,3471,10,1.1745132509354308,1921
2022-01-08,3.89177300078208,2.696172094563978,0.12717560800935956,0.005990052832286524,0.012052372171917642,1.5741209158104201,4866,13,0.9148136294832251,1791
2022-01-09,3.9636627605010295,3.3071922450885465,0.4355263088236442,-0.0011697178234129288,0.025481473735354893,2.9457678700273338,3804,11,0.9081245339605454,1958
2022-01-10,3.383441518825778,3.205752719530148,0.37712896022236164,0.011792584275012358,0.06323009941933266,2.9471259271270656,4741,22,1.1011459635461263,1712
2022-01-11,3.7917250380826646,2.501556197929632,0.4831966057924928,0.008964398734150517,0.02806902651736537,1.6660006525827584,3902,11,1.0235018656503025,1962
2022-01-12,3.5288949197529043,3.2712266730402364,0.15688898725220365,0.022741248999877648,0.01978694616560242,2.008932205056846,4173,10,1.0888776385256551,1909
2022-01-13,3.568044561093932,2.6114827451507097,0.13510941513618954,0.03975323564260029,0.018788001747501358,2.3451111943397636,4581,22,1.0019711569348702,1730
2022-01-14,3.925596638292661,3.448632680184033,0.3075519922904393,0.004474360270063045,0.04297139455241393,2.2302279690191,4203,15,1.0977049630715605,1739
2022-01-15,3.071036058197887,2.832736083955506,0.24397294961178717,0.011423839545992066,0.03769472772662339,2.3473849301896728,3265,19,0.9591538343580197,1751
2022-01-16,3.087129299701541,2.951102775326511,0.48410947293639517,0.03831931560728019,0.05573017577839358,2.791580740401148,4680,13,1.1037839304716974,1984
2022-01-17,3.020218397440326,2.5049809056737535,0.38150888718690046,-0.006637197875687475,0.049213591295640624,2.7230568691408914,4951,13,1.0726140155834198,1982
2022-01-18,3.832619845547938,3.3243926884444717,0.27839762803194645,-0.0112170560208126,0.015471846511145707,2.1151520689018515,3851,24,0.8848224009666799,1792
2022-01-19,3.7781567509498504,2.808168254230237,0.1768834990479825,0.018080333324439913,0.011901441940889539,2.284658715228469,4604,16,0.8063094746548787,1856
2022-01-20,3.8700121482468193,3.056446876169447,0.27715256403092475,0.03817799571492417,0.045419998941781635,1.7828406956250569,4057,22,1.0667891101634472,1799
2022-01-21,3.978618342232764,3.4266007970596744,0.286514566711389,0.006133342659365038,0.07341695807934354,2.1840717129794425,3037,24,0.8980851420457254,1753
2022-01-22,3.7991585642167234,2.656222383215564,0.10365702226648486,0.024233780997152187,0.031197037280734974,2.643680284011593,4484,20,1.0661729641285227,1914
2022-01-23,3.461479362252932,3.367329612930922,0.20288616422801026,-0.01931234523779205,0.05245924028025558,1.8801123366885812,3112,18,0.8583946620967661,1941
2022-01-24,3.7805291762864552,3.0002389308425546,0.19814867870389927,0.043636651191118855,0.07103514012146434,1.8687039343353717,4160,21,1.1132436950008957,1743
2022-01-25,3.1182744258689334,3.424456174056621,0.2524085743505574,0.022237084316424034,0.07589071604385018,2.9951882028033108,3275,14,1.1117657212378527,1701
2022-01-26,3.639921021327524,3.3223550501864256,0.2696153302626225,-0.001896931219470703,0.01330745362674782,1.838991322194599,4825,22,0.9049645361732864,1755
2022-01-27,3.143353287409046,2.942980030659089,0.20701222259818952,-0.014523988220004853,0.025397029781713674,2.9437980065259994,3319,15,0.9455711100717246,1726
2022-01-28,3.944668917049584,2.588711770714744,0.14505849864168457,-0.00428881332340212,0.021745127679569556,1.8729037104604722,3257,21,0.8612613528167307,1831
